Uniprot_name,SA.KO3P1_S20_L007_R1_001.sam,SA.KO3P2_S13_L006_R1_001.sam,SA.KOSS1_S12_L006_R1_001.sam,SA.KOSS2_S23_L007_R1_001.sam,SA.WT3P1_S19_L007_R1_001.sam,SA.WT3P2_S22_L007_R1_001.sam,SA.WTSS1_S11_L006_R1_001.sam,SA.WTSS2_S21_L007_R1_001.sam
93408,0,0,0,0,0,0,0,0
1523,338,226,125,344,313,523,174,488
100506550,163,81,42,151,67,138,48,111
10603,19,7,12,26,14,17,5,23
100422858,1,0,0,0,0,0,0,0
729597,48,24,20,44,41,60,40,30
79706,297,115,86,230,354,388,182,365
100313829,0,0,0,0,0,0,0,0
80228,228,95,86,211,257,327,125,333
54784,130,58,44,132,126,128,68,133
222229,356,136,145,275,306,288,142,322
5439,231,96,100,198,349,285,162,396
100506726,9,6,7,14,6,11,5,3
100271927,60,29,29,80,27,66,24,70
548644,576,270,205,473,443,545,233,617
441273,38,15,24,44,34,31,32,39
10156,72,50,26,80,53,80,14,81
100506683,1,1,2,1,0,1,1,0
246721,99,41,23,71,96,111,38,121
100134938,33,13,8,20,30,30,18,40
100310812,34,18,18,46,31,43,28,31
222234,42,20,18,39,46,43,35,52
222235,8,0,1,7,2,4,3,1
10234,18,7,13,19,5,4,3,8
58160,0,0,0,0,0,0,0,0
83787,86,94,34,143,123,184,57,140
222236,120,94,33,122,64,78,34,79
100129424,1297,682,459,1306,1132,1329,524,1476
349152,2,1,1,2,1,3,0,1
9512,699,385,244,758,626,814,360,653
27000,216,114,108,195,319,275,136,228
5701,607,264,224,493,789,726,360,729
375611,2,1,0,0,1,1,1,2
5649,46,36,13,42,10,9,5,11
5001,222,129,57,220,267,346,122,205
375612,0,0,0,0,0,0,0,0
645591,0,0,0,0,0,0,0,0
723809,0,1,0,0,0,0,0,0
100216545,36,20,18,49,21,27,15,34
55904,401,261,163,448,277,346,167,297
6733,388,265,129,407,323,485,201,356
54517,281,153,107,259,234,310,142,254
60561,216,100,83,200,253,295,144,210
100130771,8,10,5,10,12,9,4,18
222255,76,37,31,67,63,94,23,48
100506768,8,10,5,11,6,4,4,5
222256,6,5,2,7,3,8,4,10
6856,237,207,84,290,304,473,152,283
10135,412,354,163,527,725,1090,243,494
168455,123,71,30,109,158,154,55,125
5294,0,0,0,0,0,1,0,0
5577,117,125,53,172,84,93,31,64
26959,112,77,45,170,131,186,62,135
100506312,2,2,1,1,0,2,0,1
10466,205,137,80,207,217,262,119,170
2845,1,0,0,1,2,0,0,0
11062,76,64,25,88,111,139,67,98
55973,145,112,54,187,260,269,117,159
286002,1,0,0,0,7,5,1,2
5172,2,3,0,2,2,2,3,2
100128737,18,11,8,19,34,51,21,35
79872,177,173,92,264,182,278,98,164
1811,0,0,0,0,1,1,0,0
1738,681,382,275,650,878,895,464,693
3912,968,622,389,1195,669,870,326,704
22798,0,0,0,0,1,0,0,0
4897,184,155,92,277,123,219,68,137
50640,141,113,68,150,221,338,135,216
168451,124,112,44,184,157,270,83,163
4189,76,66,14,117,185,248,90,137
154907,0,0,0,0,0,0,0,0
442720,173,90,64,161,191,219,92,241
83943,20,18,9,26,37,50,19,47
54674,3,3,3,4,1,0,0,0
9732,94,73,36,93,51,85,46,43
100506413,0,1,0,0,0,0,0,0
11179,98,89,41,146,119,173,51,90
3475,340,273,135,405,913,1339,491,992
286006,9,7,1,14,12,17,3,19
64418,167,155,62,263,97,165,54,115
154743,82,83,34,149,75,153,46,87
54329,27,14,11,30,31,28,16,13
401397,313,222,109,373,334,468,184,375
100287664,0,0,0,0,0,0,0,0
5506,1,0,0,2,1,0,0,0
93986,43,45,18,91,98,162,67,114
29969,77,98,38,105,62,136,67,117
100506489,1,0,0,0,0,0,0,0
22797,1,0,0,0,0,0,0,0
26136,340,214,143,366,412,707,242,637
858,47,55,22,91,50,92,26,72
857,49,49,30,78,70,91,39,99
4233,373,243,159,412,399,539,230,419
830,269,199,101,317,328,451,196,263
6066,0,0,0,0,0,0,0,0
93653,6,4,4,8,18,15,4,9
7982,127,61,55,92,147,159,88,126
338069,2,1,0,1,0,1,1,1
100506567,2,2,0,1,2,2,2,3
100506537,0,0,0,1,0,0,0,0
93654,0,0,0,0,0,0,0,0
93655,0,0,0,1,1,0,1,0
7472,4,2,0,6,5,1,0,2
136991,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,3,0,0
83992,89,57,39,87,53,75,30,65
51691,383,315,163,505,479,587,242,388
56311,14,11,3,9,14,14,9,13
3751,8,7,6,8,2,4,1,4
100506586,0,0,0,0,0,0,0,0
23554,93,59,47,108,66,82,43,71
54556,177,104,57,145,204,190,94,118
79974,3,2,0,2,2,6,1,2
51384,0,0,0,1,0,1,0,2
10447,72,75,32,116,102,114,54,83
5803,20,18,5,18,5,18,5,10
10157,210,164,81,293,258,329,133,197
389549,6,1,0,0,0,0,0,2
154860,7,0,6,15,8,6,5,4
93664,92,47,41,98,81,100,43,82
168433,1,0,1,2,1,1,0,0
378925,2,2,0,1,0,0,0,1
50833,0,0,0,0,0,0,0,0
6561,0,0,0,0,0,0,0,0
154865,2,4,3,4,2,11,1,7
4698,213,254,97,379,246,326,128,231
142685,0,0,0,0,0,0,0,0
442721,0,1,0,0,1,0,0,1
8976,119,113,44,162,211,380,96,264
26062,2,0,2,4,0,0,0,0
23553,57,42,26,88,0,0,0,0
6677,0,1,0,2,0,0,0,0
730130,5,11,3,11,11,19,4,12
2861,29,25,15,54,38,41,23,42
154872,0,0,0,0,0,0,0,0
25913,205,156,88,263,347,479,153,277
100506664,0,0,0,0,0,0,0,0
2918,20,15,6,27,15,23,10,9
693177,0,0,0,0,0,0,0,0
168850,94,52,42,117,84,109,47,54
100506682,1,0,0,0,0,0,0,0
79571,354,174,124,320,428,492,236,410
381,800,369,274,635,1208,1213,595,1320
29999,0,0,0,1,1,0,1,1
5078,0,0,0,0,0,0,0,0
27044,1342,677,525,1317,1667,2437,968,2548
27099,0,0,1,2,1,1,0,0
64101,34,9,5,17,8,11,7,20
693178,2,0,0,0,0,0,0,0
406917,0,0,0,0,0,0,0,0
3952,0,0,0,1,0,0,0,0
157247,268,133,112,232,158,186,82,192
55131,387,186,183,404,427,611,271,514
401399,136,60,51,126,95,142,57,138
3614,443,220,151,384,318,417,192,468
29923,86,119,32,199,125,474,81,529
55798,207,125,88,252,142,241,115,165
402483,666,327,231,576,520,603,310,464
346653,6,0,2,2,0,0,1,0
84691,0,0,0,1,0,0,0,1
813,1412,794,559,1486,1558,2095,1012,1793
611,8,9,7,14,23,19,9,12
64753,176,86,50,177,150,180,80,152
2318,553,366,203,680,582,1698,441,2052
9296,694,349,245,554,920,1052,487,1149
100506752,0,0,0,1,2,1,0,0
100131738,19,4,5,10,10,4,4,5
375616,53,26,19,51,15,22,9,13
3663,1,0,2,1,1,0,0,1
23534,745,401,320,683,739,1130,407,1006
286016,273,132,112,277,252,255,139,270
407835,412,196,129,364,265,383,151,411
340348,93,58,38,97,148,214,76,254
6608,500,263,179,489,491,708,287,674
23382,184,85,56,182,153,225,85,191
57464,107,76,36,122,107,123,49,106
100506818,2,3,0,1,20,23,10,21
100127891,9,7,0,9,15,19,10,13
4899,210,103,77,168,199,260,114,231
406958,0,0,0,0,0,0,0,0
407053,0,0,0,0,0,0,0,0
406959,0,0,0,0,0,0,0,0
7328,186,126,82,242,173,331,122,232
51530,303,140,97,291,334,332,172,351
23008,391,255,145,460,346,472,180,311
84928,189,157,71,199,312,473,176,268
136263,1,0,1,0,1,3,0,1
1358,0,0,0,0,0,1,1,0
51200,1,0,0,0,0,5,0,1
93979,0,0,0,0,0,0,0,0
1357,0,1,0,0,0,1,0,0
95681,120,81,66,147,146,241,86,200
4232,3,0,0,1,2,0,0,0
317751,0,0,0,0,0,0,0,0
442904,0,0,0,0,0,0,0,0
26958,298,180,129,312,307,310,166,301
114960,0,0,0,0,0,0,0,1
136259,2,0,1,4,5,9,2,5
