Sample Name,Target Name,Ct
WT_ssRNA_13.1_2,test,16.78203583
WT_ssRNA_13.1_3,ctrl,18.05103111
WT_ssRNA_13.1_3,ctrl,17.95607567
WT_ssRNA_13.1_3,ctrl,17.93070221
WT_ssRNA_13.1_3,test,16.62693024
WT_ssRNA_13.1_3,test,16.65424347
WT_ssRNA_13.1_3,test,16.68131828
WT_ssRNA_13.2_1,ctrl,18.66890335
WT_ssRNA_13.2_1,ctrl,18.93065834
WT_ssRNA_13.2_1,ctrl,18.91723633
WT_ssRNA_13.2_1,test,17.64876747
WT_ssRNA_13.2_1,test,17.61743546
WT_ssRNA_13.2_1,test,17.63677597
WT_ssRNA_13.2_2,ctrl,17.99085999
WT_ssRNA_13.2_2,ctrl,18.09494209
WT_ssRNA_13.2_2,ctrl,18.0326252
WT_ssRNA_13.2_2,test,16.71073914
WT_ssRNA_13.2_2,test,16.58892822
WT_ssRNA_13.2_2,test,16.62742233
WT_ssRNA_13.2_3,ctrl,17.74575043
WT_ssRNA_13.2_3,ctrl,17.96544647
WT_ssRNA_13.2_3,ctrl,17.99288559
WT_ssRNA_13.2_3,test,16.96915627
WT_ssRNA_13.2_3,test,16.64170074
WT_ssRNA_13.2_3,test,17.03858376
WT_ssRNA_no.ins_1,ctrl,20.54955101
WT_ssRNA_no.ins_1,ctrl,20.59998512
WT_ssRNA_no.ins_1,ctrl,20.69486427
WT_ssRNA_no.ins_1,test,19.37388229
WT_ssRNA_no.ins_1,test,19.38734627
WT_ssRNA_no.ins_1,test,19.43610573
WT_ssRNA_no.ins_2,ctrl,17.55447769
WT_ssRNA_no.ins_2,ctrl,17.54306412
WT_ssRNA_no.ins_2,ctrl,17.60225677
WT_ssRNA_no.ins_2,test,16.40346527
WT_ssRNA_no.ins_2,test,16.58735847
WT_ssRNA_no.ins_2,test,16.67198753
WT_ssRNA_no.ins_3,ctrl,17.49822235
WT_ssRNA_no.ins_3,ctrl,17.52906036
WT_ssRNA_no.ins_3,ctrl,17.70903778
WT_ssRNA_no.ins_3,test,16.66301918
WT_ssRNA_no.ins_3,test,16.6265049
WT_ssRNA_no.ins_3,test,16.88547325
